dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,round,configured_access_lease_full_updates,accuracy,backdoor_asr,target_effective_aggregation_share,target_returned_updates,target_aggregated_updates,target_observed_node_rate,target_limited_rate,target_admitted_rate,target_rffl_removals,target_lease_expirations,target_lease_renewals,lease_full_updates
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,3,5,0.226,0.0005555555555555556,0.04668201800293072,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,4,5,0.239,0.0022222222222222222,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,5,5,0.2695,0.17888888888888888,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,6,5,0.243,0.25333333333333335,0.08920000000000002,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,7,5,0.296,0.095,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,8,5,0.3045,0.08555555555555555,0.08920000000000002,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,9,5,0.2675,0.25,0.08920000000000002,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,10,5,0.293,0.17833333333333334,0.04668201800293071,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,11,5,0.2845,0.10888888888888888,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,12,5,0.2525,0.2011111111111111,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,13,5,0.309,0.11555555555555555,0.0466820180029307,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,14,5,0.291,0.13111111111111112,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,15,5,0.303,0.2477777777777778,0.0892,2,2,1.0,0.0,1.0,0,0,2,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,16,5,0.2755,0.043333333333333335,0.08919999999999999,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,17,5,0.3015,0.20555555555555555,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,18,5,0.2845,0.050555555555555555,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,19,5,0.3015,0.1111111111111111,0.08920000000000002,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,20,5,0.332,0.095,0.04668201800293072,2,2,1.0,1.0,0.0,0,2,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,21,5,0.3405,0.026111111111111113,0.04668201800293072,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,22,5,0.3125,0.21888888888888888,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,23,5,0.3215,0.22722222222222221,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,24,5,0.3345,0.10166666666666667,0.04668201800293071,2,2,1.0,1.0,0.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,25,5,0.3305,0.19111111111111112,0.0892,2,2,1.0,0.0,1.0,0,0,2,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,26,5,0.3395,0.0022222222222222222,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,27,5,0.3245,0.03666666666666667,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
cifar10,20,2,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,2,28,5,0.3035,0.1238888888888889,0.0892,2,2,1.0,0.0,1.0,0,0,0,5
