"dataset","client_count","attacker_count","cohort_mode","variant","trust_estimator","attack_scenario","noniid_alpha","repeat","attack_start_round","limited_clean_updates","limited_observation_updates","limited_aggregation_weight","access_lease_full_updates","max_probation_tasks","min_probation_completed_tasks","min_evidence_mass","round","loss","accuracy","backdoor_asr"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","1","9.447582244873047","0.1575","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","2","7.904956340789795","0.1985","0.6438888888888888"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","3","9.389372825622559","0.2015","0.0"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","4","6.180066108703613","0.259","0.065"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","5","5.20535945892334","0.2995","0.11055555555555556"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","6","6.4140238761901855","0.276","0.15"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","7","6.236780643463135","0.2705","0.04111111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","8","6.542366027832031","0.293","0.015"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","9","9.262323379516602","0.2495","0.39055555555555554"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","10","8.232205390930176","0.2375","0.030555555555555555"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","11","6.623969078063965","0.2895","0.03"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","12","6.388857364654541","0.2965","0.215"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","13","7.005655765533447","0.2945","0.3516666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","14","6.406062126159668","0.315","0.057777777777777775"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","15","7.500725746154785","0.2755","0.41333333333333333"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","16","7.561306476593018","0.2935","0.065"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","17","6.492460250854492","0.3105","0.0961111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","18","6.265018463134766","0.3195","0.27944444444444444"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","19","6.771705627441406","0.3015","0.21"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","20","6.384417533874512","0.3285","0.16666666666666666"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","21","6.897219657897949","0.305","0.18722222222222223"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","22","5.560255527496338","0.3525","0.25166666666666665"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","23","8.07553482055664","0.274","0.3933333333333333"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","24","5.851892471313477","0.329","0.17333333333333334"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","25","8.311158180236816","0.2935","0.2411111111111111"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","26","6.422203540802002","0.3205","0.059444444444444446"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","27","6.1299591064453125","0.3445","0.06166666666666667"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","28","6.713195323944092","0.32","0.3827777777777778"
"cifar10","20","2","mixed_maturity","access_freshness_lease","dirichlet_lcb","diverse_then_repeat_backdoor","0.5","2","2","5","5","0.5","5","20","9","1.5","29","6.5690202713012695","0.338","0.21944444444444444"
