dataset,client_count,attacker_count,cohort_mode,variant,trust_estimator,attack_scenario,noniid_alpha,repeat,legitimate_newcomer_case,newcomer_count,incumbent_count,newcomer_initial_training_eligible_rate,newcomer_initial_limited_rate,newcomer_completed_tasks_mean,newcomer_onboarding_seconds_mean,incumbent_initial_training_eligible_rate,newcomer_full_access_before_attack_rate,newcomer_first_full_access_round_max
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,4,1,1,9,1.0,1.0,9.0,3.139575242996216,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,5,1,1,9,1.0,1.0,9.0,2.9551901817321777,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,6,1,1,9,1.0,1.0,9.0,2.9921133518218994,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,7,1,1,9,1.0,1.0,9.0,2.6854560375213623,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,8,1,1,9,1.0,1.0,9.0,2.6732969284057617,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_freshness_lease,dirichlet_lcb,benign_concept_drift,0.5,9,1,1,9,1.0,1.0,9.0,2.5492279529571533,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,0,0,1,9,1.0,1.0,9.0,2.615417718887329,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,1,0,1,9,1.0,1.0,9.0,2.7711150646209717,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,2,0,1,9,1.0,1.0,9.0,2.77907657623291,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,3,0,1,9,1.0,1.0,9.0,2.2954840660095215,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,4,0,1,9,1.0,1.0,9.0,2.8986892700195312,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,5,0,1,9,1.0,1.0,9.0,2.6656477451324463,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,6,0,1,9,1.0,1.0,9.0,2.7067084312438965,1.0,1.0,5
cifar10,10,1,mixed_maturity,access_full,dirichlet_lcb,diverse_then_repeat_backdoor,0.5,7,0,1,9,1.0,1.0,9.0,2.793041229248047,1.0,1.0,5
